State,R&D Spend,Marketing Spend,Administration Spend,IT Spend,Logistics Spend,HR Spend,Sales Spend,Product Development Spend,Customer Support Spend,Legal Spend,Energy Spend,Research Spend,Profit
Florida,213165.8206,76004.34999,74638.62606,99148.62132,39829.56155,19681.51807,81481.40487,74130.38117,73513.00828,20933.65528,85820.81751,5979.658547,122976.0536
Florida,51821.33736,40842.90601,158572.0717,145730.3343,94830.1901,17709.03319,169432.5468,100027.332,93378.2089,42550.61297,59566.68605,72337.08573,79735.26853
Florida,498468.3834,63253.79451,53945.26974,85203.94404,14978.70729,59146.79663,182296.2894,59787.3888,66062.5685,19015.24426,89131.05503,65311.3947,250996.846
Florida,256075.5551,266642.8456,114994.4356,107783.4849,76588.06852,26281.27293,241609.3625,15096.94291,44463.89515,29963.67365,93907.06629,25825.08012,188130.3922
New York,301738.6585,195514.1897,74922.8,12130.66698,11759.5714,,33335.46078,2623.141654,5443.220631,25684.89874,7255.582256,77908.5976,180290.9097
Nevada,42867.47392,89342.50283,133043.0594,63814.71538,98144.50016,13838.37416,94569.65387,37083.12606,92091.26752,32651.62502,51094.99158,23747.08211,71950.98247
California,377480.6305,245704.347,51877.78801,19221.0558,38780.03341,76819.912,372938.7028,84060.86611,47559.32605,48671.82508,38746.52581,71255.07318,233953.5773
Florida,112853.7406,259104.1489,42360.62442,92693.78366,77748.21935,68274.9306,363821.9924,95040.92857,3870.677689,3731.040799,63334.12291,70579.13759,115183.1207
Texas,450046.6018,254721.7299,184056.6219,140895.3594,34916.5172,69239.38021,313609.8057,36194.58732,69292.28606,29124.11436,79771.93733,60854.95171,294414.6995
Florida,110518.4238,276083.3274,24851.71818,99943.10441,63139.21884,33135.12614,12663.49202,59982.81659,48701.8881,43288.41018,29497.84117,45514.16743,148175.0111
Texas,103436.9831,79411.10095,103661.792,13366.85115,20009.59239,61226.53588,134167.6736,51113.14963,13310.18643,24587.75288,56566.24167,10480.21722,81689.38646
Texas,27909.33725,227737.369,48066.29268,54490.59834,15456.08091,12366.21628,253043.7005,49852.21134,22212.90912,4847.832111,71455.40083,43025.76703,76659.83357
Florida,241312.8031,140859.1517,12591.34285,83498.18016,93868.34982,1680.901205,113700.1337,28530.49687,7384.577365,28466.42827,15174.24612,29186.9042,144608.1677
New York,286772.1553,253389.5731,12023.66957,61674.74791,91847.08051,2577.861674,364286.7445,17228.1615,57855.06043,17271.62065,81778.55678,63585.14562,217630.1197
Texas,42197.23332,219904.7498,39168.24556,125379.3136,88859.42508,47341.53725,255386.3374,24405.93843,62580.91845,8592.147482,61398.74079,60892.20731,110803.1651
Texas,390008.5322,234051.9967,174020.2191,122571.3087,62917.91157,36976.19751,33403.15334,7584.554072,51068.48754,42602.69115,95054.66884,72938.38808,258267.409
Florida,232111.529,198567.7421,60083.35508,92550.99098,81018.55291,41923.21256,364057.2076,24577.55828,81893.11117,26558.37614,35273.83407,2171.582832,175854.396
Texas,266951.232,57341.48699,190339.5383,57271.77588,7834.656754,1589.588093,383317.83,2094.906817,86239.87331,46730.54421,12598.30235,64919.15413,149518.1788
Texas,225973.746,165782.9411,118416.3471,39789.78332,34144.11515,34392.24295,35696.40526,75643.74968,61946.81527,40494.80873,51637.1177,75138.5022,152908.0835
Florida,206373.8998,295477.5732,90139.767,17669.3991,32056.60935,57727.38473,215282.2928,38648.67348,2262.891491,34955.61789,10409.45563,63354.73548,175943.7408
Florida,284223.7623,281529.4796,118117.3228,54524.85716,63928.88687,35972.80246,124828.8915,116804.2207,69827.73592,1246.249665,97013.59929,11285.36233,217733.8561
California,86067.72051,17736.25206,105756.1851,63149.53255,36239.81957,58845.3173,160171.4352,24052.32904,42381.92248,21963.34938,5791.125909,7421.049282,78878.31218
New York,99144.78394,53620.37064,152961.3695,102021.7929,15702.17138,19408.49819,75962.23109,42153.59987,56990.19084,10676.8278,75843.38231,2646.773945,94935.95573
New York,432274.9543,43859.98817,60086.73286,99407.654,60050.24047,65238.21835,233338.4803,43583.09788,65258.9796,45629.09764,53460.03502,50670.87284,198278.8539
Texas,473596.5764,219164.0734,73844.82636,12376.00467,81624.00815,47486.068,383401.8445,2005.728031,35673.42482,9554.615249,38124.82394,50744.1395,269646.5857
New York,192921.565,246246.6723,179348.389,60498.37868,38830.22595,17650.28485,203713.6771,100865.7464,91792.75201,,8452.532122,78966.18342,180587.4967
Texas,142664.8898,67985.85306,189559.0201,28903.27235,14094.60279,19700.91759,37751.25965,4807.340757,14263.51181,26325.00162,62972.35857,32445.41075,105604.2442
California,325559.7762,154226.5444,179048.8544,25208.28039,20472.13153,50614.4067,249900.5267,112881.4003,67479.66892,13904.81733,59351.59228,27220.59651,194391.1665
Florida,210279.7438,253007.3933,86792.35882,124440.7182,24510.84721,66565.22786,139388.0828,107156.8478,1431.598416,11283.36919,29526.56076,50329.56925,206707.2545
Florida,22439.31427,221176.4557,157171.2731,8203.452074,30689.86171,,343090.4499,64727.10801,92540.45944,30355.86693,91201.72674,66223.08513,81545.56
Florida,86514.77271,164959.9756,97885.46799,64039.06563,64636.71198,21405.7339,176697.8686,65687.87341,,5357.546615,31802.78072,75005.14201,91171.22813
New York,360826.3921,179152.5687,102020.2712,26894.14105,60493.60297,69493.91695,81171.64553,78799.57283,10393.53878,3850.220177,46073.09024,64446.80913,213902.6497
California,332872.7315,154966.3613,44912.62127,132140.8719,69911.9063,53872.19505,80486.72096,47058.95142,33967.75567,19240.01946,55288.72068,34707.24447,219858.7748
New York,23277.03633,92776.79314,120270.4091,84441.99596,36887.69647,36398.7535,308661.8514,78019.45172,37983.06232,36312.55827,11822.72406,51158.22459,56657.044
New York,118766.3593,171681.4879,41296.50006,36244.33418,82575.76754,39544.11543,109907.1013,6327.438254,22215.70716,28185.53116,93351.84848,68647.64681,105286.5254
California,123226.6503,208221.1641,69655.11632,76359.2385,21204.67845,17136.26097,308057.1907,7431.667655,58927.04443,21720.94695,38704.54294,39758.16538,136195.5293
California,339227.4444,262630.2602,171730.8893,110259.9812,47435.034,50517.40778,86325.48775,55410.41993,44848.49571,28721.82665,9916.36296,18118.24485,237107.0497
California,19658.1635,192705.9494,45379.7828,143801.4653,80292.93343,29340.65833,132066.1156,66405.05383,4383.383315,18907.12275,39954.53502,14408.15174,81252.66076
California,61013.20517,229530.8534,18875.86561,34626.00863,18835.70613,79655.96896,188867.3541,106650.2992,32645.55416,46871.17044,60819.84962,1012.461822,103449.8197
Florida,401958.8818,52221.13231,18456.48056,133154.9023,11876.44826,38934.49771,377562.3606,13454.61544,81232.85844,3690.339655,52337.96184,57740.8016,203257.3705
Nevada,97486.88441,141159.455,188452.9815,140277.0089,88484.7128,39384.96289,373033.9128,98895.10334,69280.45195,33996.18247,70065.11346,9776.679499,134337.5535
Nevada,329845.5928,7752.827849,103849.4854,137630.2406,34950.03661,45702.29121,86714.39079,25995.63314,72762.2145,44672.85058,7437.426323,20263.28888,177763.2344
California,126709.5627,77770.26503,84835.354,96041.32482,68703.14237,73423.72425,146496.5213,47895.95417,70113.57548,40390.35073,29884.97981,24532.23019,102459.0195
Nevada,58726.28245,219306.206,163121.3233,95213.45686,3509.511822,64264.62989,64012.75844,38675.68974,31786.32912,10018.01071,82284.59653,45270.00895,112918.6426
Nevada,129154.3736,297583.9356,167986.0559,61675.17371,69314.64195,36639.27551,206444.1063,48618.47747,10866.72829,15500.3911,9829.581404,32438.62491,161517.4814
California,363910.7966,34257.53938,69777.25146,113354.8866,32294.02984,57777.24201,186930.1075,18908.96427,27974.25122,36135.349,85837.62356,54299.24537,186840.4877
Nevada,429291.2694,123440.8232,140255.5212,80631.51472,6518.344505,47312.6044,360800.2642,60924.83885,83346.74472,5129.2574,11005.81702,5395.454087,236445.6937
New York,416807.7336,241020.9358,155368.9491,102260.8345,61371.46339,39896.99685,372352.1242,96395.46819,98066.60898,40781.22329,83776.51306,10791.19635,268709.8113
Texas,204619.9295,65190.51222,132656.8839,65411.76977,24839.57779,16192.94605,156509.1194,53542.54724,49890.85446,36226.44029,37357.26331,40437.70878,137486.6597
Texas,337361.7169,168750.06,34561.03959,110261.4767,39293.91696,37650.96481,199236.4875,59383.01553,1960.335137,36750.72581,61996.4882,27620.21824,216325.5077
California,110442.3048,221256.0323,175797.2013,124021.7846,8977.500416,20419.66837,359013.3184,102003.3426,14864.4364,5911.827143,16982.93733,24369.25566,125300.382
Florida,153642.3878,186715.7078,110123.4378,23672.56598,15569.16186,73272.52984,323649.5841,85020.91564,32885.97696,36170.2667,8484.534729,6295.218244,133604.0979
California,449204.5511,60467.29671,60082.12314,125273.5979,30499.74631,27497.13827,6444.242981,59364.07461,58279.94951,34311.08814,23161.94399,71761.81481,211988.4882
Florida,16370.94252,109838.4478,87919.49616,81963.8867,9886.190555,76228.85715,131423.5279,31665.78213,8434.270935,41715.20205,14529.67416,55653.6683,55132.90217
Texas,51899.18012,236218.5764,12326.36263,127010.5545,91171.8002,43111.36792,171600.8256,106306.2829,94392.37257,3038.201857,32615.77797,10607.83439,110589.7851
California,111864.265,168496.8217,29934.02624,65832.65254,1598.657275,50892.00592,95737.93205,69665.4278,37143.28366,2132.422755,52409.55816,6138.630661,109033.9622
New York,23000.7799,6542.735995,154281.6164,58097.99184,48902.16167,43892.29511,83830.78828,27316.5656,91345.83757,19277.34789,59698.42743,78014.93014,39420.88179
Nevada,98903.36319,229492.2742,5002.268777,137428.9884,13201.49836,11221.06874,19924.88011,33025.25056,78271.65847,8290.625909,79407.07452,54812.63148,96307.6657
Florida,295690.3649,15416.84971,86230.33655,39173.0516,31460.22986,30689.8763,259131.0414,96572.83758,75788.28998,28360.8394,66311.50954,33979.02962,136672.4234
Nevada,216498.0298,224991.4659,106889.4853,126943.4241,92679.89642,8832.54287,108691.5647,6253.321888,61065.2384,45950.09617,61658.31586,56436.75222,184644.3389
Nevada,447409.1384,64731.76525,15653.7119,73635.04473,17007.76077,50213.36949,25677.13548,119058.9703,63051.59789,20182.50679,42354.63869,60750.21113,183786.1089
California,410547.3453,287631.6766,194750.2418,78086.1255,96617.39965,36303.06142,96236.82766,16511.84989,64162.32029,42402.56849,48433.22663,62617.01399,285635.8522
Nevada,177490.5023,113542.5216,49094.43959,47653.30566,21373.64332,62460.81275,321756.0114,95732.15452,63243.41732,1011.802851,42623.04128,38752.30715,127017.4813
New York,137117.4824,101444.8268,64318.75033,86810.24569,74415.04474,18417.168,341338.2268,47978.2627,55819.09491,9257.21753,84532.27095,34960.73789,122388.1504
Nevada,196049.28,48921.97485,64268.78989,50131.25705,55121.04922,14000.71862,195811.1669,59573.72581,98654.98783,2490.753443,24540.04435,1871.218657,109663.8605
California,299244.5218,95153.24357,49931.24911,7811.873308,88563.39403,33100.24625,169347.9148,105797.4187,73496.76618,17079.21185,2560.651291,74198.0121,141243.8078
New York,141351.184,263611.9747,5287.395307,42255.79359,55845.33229,74200.24527,391252.2089,50136.43156,77917.69245,45501.29019,65829.34993,48661.32239,147726.5559
Texas,315832.9648,298918.6296,147222.2348,2944.098424,53921.3627,57123.32339,84223.04054,64961.75669,87373.81869,5750.654056,21841.294,17049.16104,237539.621
Nevada,210611.7096,113651.3115,193534.8725,146796.5085,20350.34204,34094.96636,90066.91673,6866.659827,22348.33651,30714.07906,89231.28336,73648.67013,162076.3292
California,280503.1186,137340.1361,48737.22924,144930.5871,17456.70684,41864.50141,120287.5349,1279.34939,9296.61175,23123.30102,86186.54031,73279.62024,165755.1171
Texas,223701.9993,218010.9268,134294.2024,60482.98403,91732.42596,7652.827883,73239.14072,30131.18489,48806.54922,46984.94241,9519.282449,79145.54898,173057.0367
Texas,154288.2222,266427.7552,149669.7838,109798.8864,33455.98169,78781.49581,154849.4113,81989.38806,51893.98887,7003.437984,12426.06373,70050.46849,159127.4915
Florida,474742.1204,179948.0786,170442.9489,53179.30256,37836.14324,53646.17707,364779.5197,15430.52231,83088.99622,11389.36467,50526.81604,79824.96664,262407.1231
New York,384166.8391,120500.081,87412.69342,101321.7872,76222.54218,23546.92141,248062.397,14537.6731,44934.57435,2447.556462,61703.82095,20330.20886,223282.7874
Nevada,78655.45613,126723.4431,64071.5266,121203.6464,34543.52476,47278.86314,167718.8867,49904.31236,57514.44953,22262.82723,28941.01707,67537.71723,78955.80362
California,435549.3082,210207.3532,68432.55113,142119.9242,95254.18222,9649.106919,374092.2639,78092.60759,53180.02291,14613.81208,72246.17624,66019.23639,255045.117
Florida,248841.2871,5949.387763,143961.16,61231.41683,74054.84913,77301.09684,24143.37183,85736.56708,4782.075592,43625.39076,60301.77005,19244.28838,120001.7725
New York,448330.5912,187778.8546,164271.996,117928.1015,60145.49501,14808.01404,88059.09027,22235.63022,61906.27476,30642.09985,33832.76276,8776.566371,246603.4712
Florida,401929.0754,109870.4381,40414.72371,41357.41069,88208.62089,52194.39513,228525.999,10470.98954,82976.28529,31090.44616,4486.405828,78374.22058,210606.0723
New York,218354.6172,239288.2127,77333.49659,148569.181,5910.984927,20390.90254,248143.2862,112907.247,16592.55426,27063.62415,75514.72757,24385.93957,190933.0537
New York,21009.96108,32432.23875,180878.3384,5813.900617,26449.20653,57687.34923,20625.21509,32019.29952,59838.84166,5500.666524,23045.85925,69800.45145,39020.32974
Nevada,141651.9061,178519.6687,162305.2363,91322.26336,47038.59709,62368.88801,164200.3094,102548.2332,59767.4439,22805.9155,83778.42686,1326.045219,122830.6973
New York,275400.7652,146887.0025,197047.3885,99606.88528,23470.87541,54200.15858,261415.8161,103755.4826,17254.31144,49975.7543,43188.44549,2660.95977,196180.6987
Florida,320404.3277,194486.0301,152078.4106,103830.7424,74646.61354,49545.45736,280737.8658,92930.18842,13222.8938,41926.23525,58553.58938,37803.83339,233438.2925
New York,136364.9659,24131.81037,81673.0642,19817.36166,92001.59507,71505.05842,257065.2615,21091.19919,98025.14235,44779.49365,87548.97558,19858.46003,79076.03972
Nevada,78284.4763,176095.2173,120174.3776,140902.408,42953.24187,7211.510168,131622.4736,98794.37365,39978.1978,41338.0916,86635.05409,55497.46139,105866.5631
Nevada,419115.816,170637.9534,133897.7796,28815.1253,34871.12741,27142.2665,41940.44882,92540.81655,23514.75114,6049.042978,38408.91837,45679.58172,238117.6842
Florida,492357.0685,170394.7279,20298.88418,94167.50368,96193.52248,20614.71089,173709.4163,72010.03582,17961.1299,12144.96445,22471.11149,7121.377999,278146.378
Texas,267588.1893,183028.8616,111176.907,34956.05971,45040.39085,79053.103,55858.00276,41127.04219,67092.56964,1152.960916,77964.31562,13847.63541,170371.3347
Texas,94122.85007,204558.0415,143317.5616,47468.02972,49415.79164,31761.79259,379311.3451,32238.52391,61335.08444,15871.99612,44441.85995,31655.89233,107730.4008
New York,143430.59,242471.7549,37627.65428,82875.86418,35813.33736,58876.40324,192692.4921,15504.81624,64711.66018,6321.762715,20820.11537,15662.72105,145150.7804
California,19011.43151,84597.11244,157223.1849,63744.62595,91045.29883,55093.28795,130317.3739,61661.09096,9712.596724,24166.87392,90633.68355,63585.56543,70766.9326
New York,458006.4152,248389.576,118835.6922,25713.38894,57326.59284,17754.41776,307690.1081,70646.04419,89459.92377,34179.24694,21414.21104,33869.54861,272571.0972
Florida,67698.03062,151985.4263,190683.2482,27298.58756,76455.28413,19880.81674,201689.6941,43761.33987,39537.37328,43850.75946,4529.102483,8381.117481,91583.61271
Florida,292493.073,27732.19234,13272.34815,63885.42865,81368.86512,23221.48052,127463.4395,57567.72905,32023.57124,37711.64109,3987.437429,39263.08928,151185.4107
Florida,144287.0581,22272.52413,56738.59682,114077.8808,34843.05515,33479.05498,325727.2582,44258.22043,46773.78328,46990.69419,62986.90493,8176.216304,97440.47206
Florida,281547.2212,103600.304,122303.0065,134898.7677,43935.7388,19511.68019,347525.0996,77279.72082,39616.54051,3641.016229,66844.15595,11186.04713,169045.8981
Florida,329195.9903,236544.6082,62829.18288,14450.89401,84998.70567,2552.467137,270838.2257,108249.8457,86494.12331,1596.811935,32482.0871,19929.17673,212346.7959
Nevada,416573.4838,213765.8757,144312.712,60179.37832,36962.27982,70472.05149,23550.94685,20506.51118,92996.83654,33405.56758,33361.07695,68902.68871,234133.0826
Texas,111146.4232,237641.4146,153006.0301,16836.34343,79599.57821,77283.17668,228697.5377,46387.64838,31041.86843,15178.2681,35270.40368,74044.39005,141067.5921
Florida,15387.95604,157594.3717,24990.61299,4455.687134,94158.23993,27984.06058,306501.4902,17763.36387,86529.64494,13421.54979,68655.53758,66274.36062,60257.61147
California,77073.95873,134858.7044,105201.6205,99934.36503,62697.82693,27742.04347,58918.68977,75368.30868,78370.78982,17213.4673,7697.111521,27392.10018,88660.37713
California,451009.1345,48498.49538,104233.6583,91162.51741,74421.10146,1560.253209,95324.9468,87735.59063,93149.95956,14220.00684,93053.40256,22523.26885,221397.6902
California,438206.138,101816.8623,77009.75019,26126.82884,80704.63389,54739.80438,353585.5665,111897.6152,25329.28091,26060.38391,23807.06233,44383.29957,227636.2954
California,302732.4201,133035.713,186920.3482,36604.2993,84658.92524,66209.75176,12948.08013,34185.75923,58118.95586,22567.27391,99967.97411,58026.39968,195202.3833
Nevada,304253.2616,31137.12676,166363.7324,5508.747539,40110.28045,12582.05573,302327.2194,114075.1335,28179.91389,26108.99902,18809.22399,79476.45026,164820.5083
California,335867.9705,70080.52605,140955.8295,125572.1864,6075.082458,13613.6416,192140.4505,8528.257947,82585.35456,33962.96696,77611.55282,11394.08624,183737.1057
Florida,95931.92653,181476.4617,144293.694,146254.2082,40785.75085,63416.57675,181475.0027,72758.64974,1527.094867,19969.39494,23894.4294,4894.067923,129962.6655
New York,458061.8535,222020.6187,95034.64804,22048.01145,67701.86675,49686.96912,7803.130335,7798.793602,56917.09713,13314.07667,9922.986561,55854.11523,260993.3582
California,215197.5572,299512.5159,184593.9316,36258.33164,45584.68819,4543.984053,328662.3012,107359.1283,34581.1397,9143.826304,87743.46579,66745.8369,191894.507
Nevada,197737.8788,280268.4327,140446.1083,130524.6095,75147.35194,50181.21225,147130.8358,64047.27779,32945.687,18124.23186,86157.6234,67861.55361,186549.4071
Nevada,264269.6756,194556.7339,147151.307,139116.6421,36341.26052,25404.5001,218602.4244,80652.45374,64845.72606,37348.51729,41549.89846,54598.62038,192039.3429
California,33013.32372,129268.1757,173029.7262,64104.85266,63839.66997,30129.28728,272533.7711,99957.29718,85296.96048,38078.5406,70834.82197,76367.24853,88539.90394
New York,91478.85069,192672.3226,58443.95992,9492.125896,19455.56068,61808.78205,282538.6827,18886.96408,61310.34375,33678.36395,56592.4614,41369.37632,98668.06324
California,371636.472,236767.2273,162378.8263,7829.991387,75187.57423,65063.88022,382612.1232,5592.395871,85464.12489,12467.38059,85589.69914,73191.36907,237005.6968
Nevada,50571.34728,39909.17632,43071.91758,86944.58018,55023.90091,32628.17352,214879.2815,105586.8564,27195.11408,29816.22605,32875.48499,77457.15882,74707.85871
Texas,305544.5336,125921.9425,72341.68069,60148.47612,21202.37447,75825.08194,162889.2226,38477.05407,52430.68362,28963.79342,53319.8952,67925.4391,185733.2644
Florida,130221.0637,252741.6743,70444.03858,6240.559281,29899.20618,33110.55472,381712.9325,16348.49004,45603.11737,24729.04371,49566.49238,25470.9265,127239.4984
Nevada,200754.8509,118230.7208,195812.4663,88321.35406,75112.26215,61975.04678,258633.5428,56746.88721,2152.845051,27948.97033,36682.77097,16501.03644,156737.7419
California,151459.931,173702.32,172024.7586,3672.775415,48777.52233,39226.3039,122769.3907,72198.42301,56124.40217,25097.741,89362.59633,44301.48513,132426.6902
Florida,184279.6311,178391.9615,141728.123,118531.0498,22387.1126,71905.0538,,4685.501807,66490.90809,28707.36194,18256.03662,36788.16528,154222.9814
